Id	Prompt	Wavfile	RecResult
40988	Sag: Ich möchte mit Kreditkarte bezahlen	40988.wav	i would like to pay with credit card
40989	Frag: Gibt es ein Fitnessstudio?	40989.wav	is there a fitness studio
40991	Sag: Ich bin aus Italien	40991.wav	i'm from italy
40993	Frag: Einzelzimmer	40993.wav	i would like a single room
40994	Frag: Gibt es eine Hotelbar?	40994.wav	is there a hotel bar
40996	Sag: Ich möchte mit Postkarte bezahlen	40996.wav	i would like with post card
40997	Frag: Gibt es einen Coiffeur?	40997.wav	is there a hairdresser
40998	Frag: Wo ist der Coiffeur?	40998.wav	where is the grocery store
41001	Sag: Ich möchte mit Kreditkarte bezahlen	41001.wav	i would like to pay with credit card
41003	Frag: Zimmer für 7 Nächte	41003.wav	i would like the steak seven nights
41007	Sag: Ich möchte mit Kreditkarte bezahlen	41007.wav	i would like to pay with by credit card
41008	Frag: Gibt es einen Lift?	41008.wav	is there a lift
41009	Frag: Wo ist der Lift?	41009.wav	where is the lift
41010	Frag: Zimmer für 3 Nächte	41010.wav	i would like to stay three nights
41011	Sag: Ich möchte mit Postkarte bezahlen	41011.wav	i would like to pay with the post card
41012	Frag: Gibt es einen Lebensmittelladen?	41012.wav	is there a grocery store
41013	Sag: Ich möchte um 16 Uhr morgen abreisen	41013.wav	i would like to leave at four o'clock p m tomorrow
41018	Frag: Zimmer für 3 Nächte	41018.wav	i would like a room for three nights
41019	Sag: Ich möchte mit Kreditkarte bezahlen	41019.wav	i would like to pay with credit card
41024	Frag: Zimmer für 4 Nächte	41024.wav	i want a room for four nights
41026	Frag: Zimmer für 4 Nächte	41026.wav	i want a room for four nights
41027	Sag: Ich möchte mit Kreditkarte bezahlen	41027.wav	can i pay with credit card
41028	Sag: Ich möchte mit Euros bezahlen	41028.wav	can i pay with euros
41030	Sag: Ich heisse John	41030.wav	my name is john
41031	Frag: 3 Tickets nach London	41031.wav	i would like three tickets to london
41032	Sag: Ich heisse Silvia	41032.wav	my name is silvia
41034	Sag: Ich möchte mit Dollars bezahlen	41034.wav	i'd like to pay with dollars
41035	Sag: Ich möchte mit Dollars bezahlen	41035.wav	can i pay with dollars
41036	Frag: ein Ticket zum Piccadilly Circus	41036.wav	can i have a ticket to the piccadilly circus
41039	Frag: Ich möchte die Dessertkarte	41039.wav	could i see the dessert menu
41043	Sag: Ich bin aus Italien	41043.wav	i'm from italian
41045	Sag: Dies ist mein Pass	41045.wav	this is my passport
41046	Frag: mein Steak medium	41046.wav	i would like my steak medium
41049	Frag: mein Steak medium	41049.wav	i would like the steak medium
41052	Frag: Stiefel	41052.wav	i would like to buy some boots
41053	Frag: Jeans	41053.wav	i would like jeans
41054	Frag: eine L	41054.wav	i need a large
41055	Frag: Zimmer für 5 Nächte	41055.wav	i would like a room for for five nights
41056	Frag: Gibt es ein Fitnessstudio?	41056.wav	is there a fitness studio
41058	Frag: braune Stiefel	41058.wav	i would like brown boots
41060	Frag: eine L	41060.wav	i need a large
41061	Frag: Wie viel kostet es?	41061.wav	how much is it
41062	Frag: Wo ist Piccadilly Circus?	41062.wav	where is the piccadilly circus
41064	Sag: Ich möchte mit Kreditkarte bezahlen	41064.wav	i would like to pay with credit card
41065	Frag: ein Steak	41065.wav	i would like the steak
41066	Frag: Ich möchte die Dessertkarte	41066.wav	can i have the dessert menu
41067	Frag: Ich möchte die Rechnung	41067.wav	can i have the bill please
41068	Frag: ein Wasser mit Kohlensäure	41068.wav	i would like a carbonated water
41069	Frag: mein Steak blau	41069.wav	i would like my steak blue
41070	Frag: Custard Tart	41070.wav	i would like the custard tart
41072	Sag: Ich möchte mit Schweizer Franken bezahlen	41072.wav	i would like to pay with swiss francs
41073	Frag: Gibt es ein Hotelrestaurant?	41073.wav	is there a hotel restaurant
41074	Frag: Zimmer für 6 Nächte	41074.wav	i would like a room for six nights
41076	Frag: Zimmer für 6 Nächte	41076.wav	i would like a room for six nights
41077	Frag: Gibt es ein Schwimmbad?	41077.wav	is there a swimming pool
41078	Frag: ein Steak	41078.wav	i would like a steak
41083	Sag: Ich heisse Stephanie	41083.wav	my name is stephanie
41085	Sag: Ich gehe in die Ferien	41085.wav	i go into holiday
41087	Sag: Ich habe 2 Schwestern	41087.wav	i have two sisters
41090	Frag: 2 Tickets für Billy Elliot	41090.wav	i would like two tickets for billy elliot
41092	Frag: 2 Musical-Tickets	41092.wav	i would like three musical tickets
41093	Sag: Ich möchte in der ersten Reihe sitzen	41093.wav	i want to sit in the first row
41094	Frag: 3 Tickets	41094.wav	i'd like three tickets
41096	Sag: Dies ist mein Pass	41096.wav	this is my passport
41098	Sag: Dies ist mein Pass	41098.wav	this is my passport
41099	Frag: ein Ticket nach London	41099.wav	i would like a ticket to london
41100	Frag: ein Ticket nach London	41100.wav	can i have a ticket to london
41103	Frag: 2 Tickets für König der Löwen	41103.wav	i want two tickets for the lion king
41104	Frag: 3 Tickets	41104.wav	i would like three tickets
41105	Frag: Welcher Bus fährt dorthin?	41105.wav	i want bus drives there
41106	Frag: Stiefel	41106.wav	i would like boots
41107	Frag: ein T-Shirt	41107.wav	i would like a tee shirt
41109	Sag: Ich möchte am Sonntag abreisen	41109.wav	i would like to leave at sunday
41110	Frag: 3 Musical-Tickets	41110.wav	i would like three musical tickets
41112	Sag: Mir geht es gut	41112.wav	i'm fine
41114	Frag: eine L	41114.wav	i need a large
41116	Sag: Ich möchte um 12 Uhr morgen abreisen	41116.wav	i would like to leave tomorrow at twelve o'clock
41117	Sag: Ich bin aus Amerika	41117.wav	i'm from america
41118	Frag: Welcher Bus fährt dorthin?	41118.wav	which bus drives there
41120	Frag: Stiefel	41120.wav	i would like boots
41121	Frag: ein Sweatshirt	41121.wav	i would like a sweatshirt
41122	Frag: Wie viel kostet es?	41122.wav	how much is it buena
41123	Sag: Dies ist zu teuer	41123.wav	that's too expensive
41124	Frag: ein Ticket nach London	41124.wav	can i have a ticket to london please
41125	Frag: ein Ticket nach London	41125.wav	i want a ticket to london
41126	Sag: Ich heisse Paolo	41126.wav	my name is paolo
41127	Sag: Ich möchte morgen abreisen	41127.wav	i would like to leave tomorrow
41128	Sag: Ich bin aus der Schweiz	41128.wav	i'm from switzerland
41129	Sag: Ich heisse Michelle	41129.wav	my name is michelle
41131	Sag: Ich bin aus Deutschland	41131.wav	i'm from germany
41133	Frag: 2 Tickets für Freitagabend	41133.wav	i would like two tickets for friday evening
41135	Frag: ein Ticket für Freitagabend	41135.wav	i would like a ticket for friday evening
41136	Frag: 2 Tickets für König der Löwen	41136.wav	i would like two tickets for the lion king
41137	Sag: Ich möchte vorne sitzen	41137.wav	i would like to sit in the from
41138	Frag: 2 Musical-Tickets	41138.wav	i would like two musical tickets
41139	Frag: 2 Tickets für König der Löwen	41139.wav	i would like three tickets for the lion king
41140	Frag: 2 Tickets	41140.wav	this ticket
41142	Sag: Ich möchte in der siebten Reihe sitzen	41142.wav	i would like to sit in the seventh row
41148	Sag: Mir geht es gut	41148.wav	i'm good
41149	Frag: Grösse 38	41149.wav	i need thirty eight
41154	Frag: Wie viel kostet das T-Shirt?	41154.wav	how much does the tee shirt
41155	Frag: Stiefel	41155.wav	i would like red boots
41157	Frag: ein violettes T-Shirt	41157.wav	i would like a sparkling tee shirt
41159	Frag: ein T-Shirt	41159.wav	i would like a tee shirt
41160	Frag: ein grünes T-Shirt	41160.wav	can i have a green tee shirt
41161	Frag: eine L	41161.wav	i need a large
41162	Sag: Mir geht es gut	41162.wav	i'm good
41163	Frag: Grösse 42	41163.wav	i need forty-two
41164	Frag: eine L	41164.wav	i need a large
41165	Sag: Dies ist zu teuer	41165.wav	this is too expensive
41166	Frag: rote Stiefel	41166.wav	i would like red boots
41169	Sag: Dies ist zu teuer	41169.wav	this is too expensive
41171	Frag: ein grünes Hemd	41171.wav	i would like a green shirt
41172	Sag: Dies ist zu teuer	41172.wav	this is too expensive
41173	Frag: Wo ist die National Gallery?	41173.wav	where is the national national gallery
41175	Frag: Wo ist der Zoo?	41175.wav	where is the zoo
41177	Frag: Wo ist Piccadilly Circus?	41177.wav	where is the piccadilly circus
41178	Sag: Saint Pauls Cathedral ist nahe der Bank of England	41178.wav	the saint pauls cathedral is near the bank of england
41179	Frag: Zimmer für 5 Nächte	41179.wav	i want a room for five nights
41180	Frag: Einzelzimmer	41180.wav	a single room please
41181	Sag: Ich möchte mit Kreditkarte bezahlen	41181.wav	can i pay with credit card
41184	Frag: Gibt es einen Lebensmittelladen?	41184.wav	is there a grocery store
41185	Frag: Zimmer für 3 Nächte	41185.wav	i want a room for three nights
41186	Frag: Einzelzimmer	41186.wav	a single room please
41188	Sag: Ich möchte mit Kreditkarte bezahlen	41188.wav	can i pay with credit card
41189	Frag: Zimmer für 3 Nächte	41189.wav	i want a room for three nights water
41190	Frag: Einzelzimmer	41190.wav	a single room please
41191	Frag: Einzelzimmer	41191.wav	a single room please
41192	Frag: Einzelzimmer	41192.wav	a single room please
41194	Sag: Ich möchte mit Mastercard bezahlen	41194.wav	can i pay with mastercard
41195	Frag: Gibt es ein Fitnessstudio?	41195.wav	is there a gym
41197	Frag: Wo ist das Fitnessstudio?	41197.wav	where is jack janet
41198	Frag: Zimmer für 3 Nächte	41198.wav	i want a room for three nights
41201	Frag: Gibt es eine Hotelbar?	41201.wav	is there the hotel bar
41203	Frag: Wo ist die Hotelbar?	41203.wav	i only large water with where is the hotel bar evening
41205	Frag: Zimmer für 4 Nächte	41205.wav	i want a room for four nights
41206	Frag: Einzelzimmer	41206.wav	a single room please
41208	Frag: Gibt es ein Fitnessstudio?	41208.wav	is there a gym
41210	Frag: Zimmer für 6 Nächte	41210.wav	i want a room for six nights
41213	Frag: Doppelzimmer	41213.wav	can i have a double room please
41215	Sag: Ich möchte mit Mastercard bezahlen	41215.wav	can i pay with mastercard
41216	Frag: Gibt es einen Lift?	41216.wav	is there a lift
41217	Frag: Wo ist der Lift?	41217.wav	where is the lift
41218	Frag: Zimmer für 6 Nächte	41218.wav	i want a room for six nights
41220	Sag: Ich möchte mit Postkarte bezahlen	41220.wav	can i pay with post card
41221	Frag: Gibt es einen Coiffeur?	41221.wav	is there a shop
41222	Frag: Gibt es einen Coiffeur?	41222.wav	this is dirty
41223	Frag: Zimmer für 7 Nächte	41223.wav	i want a room for seven nights
41226	Frag: Gibt es ein Hotelrestaurant?	41226.wav	is there a hotel restaurant
41227	Frag: Wo ist das Hotelrestaurant?	41227.wav	where is the hairdresser
41229	Frag: Zimmer für 7 Nächte	41229.wav	i want a room for seven nights
41231	Sag: Ich möchte mit Kreditkarte bezahlen	41231.wav	my name is lisbon
41232	Sag: Ich möchte mit Kreditkarte bezahlen	41232.wav	can i pay with credit card
41233	Frag: Gibt es ein Schwimmbad?	41233.wav	is there a swimming pool
41234	Frag: Wo ist das Schwimmbad?	41234.wav	where is the swimming pool
41237	Frag: Zimmer für 4 Nächte	41237.wav	i want a room for four nights please
41238	Sag: Ich möchte mit Postkarte bezahlen	41238.wav	the capital credit pass afternoon
41240	Frag: Gibt es einen Lebensmittelladen?	41240.wav	is there africa
41241	Frag: 2 Tickets nach London	41241.wav	i want two tickets to london
41242	Sag: Ich möchte am Dienstag abreisen	41242.wav	i want to leave at tuesday
41243	Sag: Ich heisse Mona	41243.wav	my name is mona
41244	Sag: Ich bin aus Italien	41244.wav	i'm from italy
41245	Frag: 4 Tickets nach London	41245.wav	i want four tickets to london
41247	Sag: Ich möchte am Mittwochmorgen abreisen	41247.wav	i want to leave at wednesday night
41248	Sag: Ich heisse John	41248.wav	my name is john
41249	Sag: Ich heisse John	41249.wav	my name is john
41251	Frag: Zimmer für 5 Nächte	41251.wav	i want a room for five nights
41252	Frag: Einzelzimmer	41252.wav	a single room please
41253	Sag: Ich möchte mit Kreditkarte bezahlen	41253.wav	can i pay with credit card
41255	Frag: Zimmer für 2 Nächte	41255.wav	i want a room for two nights
41256	Frag: Einzelzimmer	41256.wav	a single room please
41257	Sag: Ich möchte mit Kreditkarte bezahlen	41257.wav	can i pay with credit card
41258	Frag: Gibt es einen Lift?	41258.wav	is there a lift
41259	Frag: ein Ticket nach London	41259.wav	i want one ticket to london
41260	Sag: Ich möchte um 13 Uhr morgen abreisen	41260.wav	i would leave at dirty o'clock morning
41263	Sag: Ich bin aus Italien	41263.wav	i'm from italy
41265	Frag: 2 Tickets nach London	41265.wav	i want two tickets to london
41272	Sag: Ich möchte mit Kreditkarte bezahlen	41272.wav	can i pay with credit card
41273	Frag: ein Ticket nach Westminster	41273.wav	i want ticket to westminster
41277	Frag: ein Ticket zum Trafalgar Square	41277.wav	i want a ticket to trafalgar o'clock
41279	Frag: ein Ticket zum Green Park	41279.wav	i want ticket to green park
41282	Frag: ein Ticket nach Notting Hill	41282.wav	i want a ticket to notting hill
41283	Sag: Ich möchte mit Postkarte bezahlen	41283.wav	can i pay with post card
41284	Frag: ein Ticket zum Piccadilly Circus	41284.wav	i want a ticket to piccadilly card circus
41287	Frag: ein Ticket zum Piccadilly Circus	41287.wav	i want a ticket a a ticket to piccadilly circus
41291	Sag: Ich möchte mit Kreditkarte bezahlen	41291.wav	can i pay with master ticket credit cards
41293	Sag: Ich möchte mit Euros bezahlen	41293.wav	can i pay with euros
41294	Frag: ein Ticket zum Green Park	41294.wav	i want a ticket to green park
41296	Sag: Ich möchte mit Dollars bezahlen	41296.wav	i pay with euros
41297	Sag: Ich möchte mit Dollars bezahlen	41297.wav	can i pay with dollars
41298	Sag: Ich heisse Janet	41298.wav	my name is janet
41299	Sag: Ich bin aus Italien	41299.wav	i'm from italy
41302	Sag: Die Hauptstadt von Italien ist Rom	41302.wav	the capital of france is italy is rome
41308	Frag: Stiefel	41308.wav	i buy with dollars
41311	Frag: 2 Musical-Tickets	41311.wav	i want two musical tickets
41312	Frag: 2 Tickets für Dienstagabend	41312.wav	i want two tickets for tuesday night
41314	Frag: 2 Tickets für Billy Elliot	41314.wav	i want two tickets for billy elliot
41318	Frag: ein Wasser ohne Kohlensäure	41318.wav	i would like a still water
41320	Frag: ein Steak	41320.wav	i'd like a steak
41322	Frag: mein Steak rare	41322.wav	i'd like my steak rare
41323	Frag: mein Steak rare	41323.wav	i would like my steak rare
41327	Frag: Ich möchte die Dessertkarte	41327.wav	could i see the dessert menu
41328	Frag: Ich möchte die Dessertkarte	41328.wav	i'm water i want to leave at saturday
41329	Sag: Ich möchte mit Kreditkarte bezahlen	41329.wav	can i pay with credit card
41330	Frag: Gibt es einen Lift?	41330.wav	is there a lift
41331	Frag: Wo ist der Lift?	41331.wav	where is the lift
41334	Frag: Doppelzimmer	41334.wav	i want a double room please
41337	Sag: Ich möchte mit Visa bezahlen	41337.wav	can i pay with visa
41338	Frag: Gibt es ein Hotelrestaurant?	41338.wav	is there a hotel restaurant
